community,number_of_cops_race_coalesced_asian,number_of_cops_race_coalesced_black,number_of_cops_race_coalesced_latino,number_of_cops_race_coalesced_white,number_of_cops_age_coalesced_18-29,number_of_cops_age_coalesced_30-39,number_of_cops_age_coalesced_40-49,number_of_cops_age_coalesced_50-59,number_of_cops_age_coalesced_60+,number_of_cops_total_total,number_of_cops_race_coalesced_other,total_annual_salary_race_coalesced_asian,total_annual_salary_race_coalesced_black,total_annual_salary_race_coalesced_latino,total_annual_salary_race_coalesced_white,total_annual_salary_age_coalesced_18-29,total_annual_salary_age_coalesced_30-39,total_annual_salary_age_coalesced_40-49,total_annual_salary_age_coalesced_50-59,total_annual_salary_age_coalesced_60+,total_annual_salary_total_total,total_annual_salary_race_coalesced_other,community_label,tot_population_acs_14_18,tot_occp_units_acs_14_18,tot_housing_units_acs_14_18,pct_white,pct_black,pct_aian,pct_asian,pct_latino,pct_college,pct_blw_pov,pct_children_blw_pov,pct_female_no_hb,pct_vacant,pct_owner_occ,pct_single_detached,pct_recent_built,avg_hh_inc_acs_14_18,avg_house_value_acs_14_18,med_house_value_acs_14_18,med_hhd_inc_acs_14_18,time_range,variable,value,asian_cop_complaints,black_cop_complaints,latino_cop_complaints,other_cop_complaints,white_cop_complaints,total_cop_complaints,share_white_cop_complaints,lori_lightfoot,jerry_joyce,ballots_cast,lightfoot_share,jerry_joyce_share,crime_count,arrest_count,arrest_rate,kfr_pooled_pooled_p25_weighted,jail_pooled_pooled_p25_weighted,pooled_pooled_count,kfr_pooled_pooled_p25,jail_pooled_pooled_p25,cops_per_household,cops_income_per_household,average_cop_income,share_of_cops,share_of_pop,ratio_cop_share_to_pop_share,pct_white_cops,pct_black_cops,pct_latino_cops,pct_asian_cops,pct_poc_cops,lon,lat,race_label,income_label,race_income_label,cop_neighborhood
DOUGLAS,3,79,5,31,12,28,44,24,11,119,1,264036,6781794,523032,2912436,860208,2382672,4037568,2260368,1062954,10603770,122472,Douglas,21268,9625,10896,0.1127985706225315,0.6821515892420538,2.35094978371262e-4,0.1422324619146135,0.03399473387248449,0.44111664445535526,0.4043823639174708,0.6002294235732721,0.18815584415584416,0.11664831130690162,0.18264935064935064,0.13124082232011747,0.0013766519823788547,51384.145454545454,NA,191010.55584415584,33320.426945668136,2008-2018,bigcategory,Complaints,10,281,92,12,213,608,0.3503289473684211,613,70,4002,0.15317341329335332,0.017491254372813594,2768,463,0.16726878612716764,1648.4550878811074,421.2180434960488,6047.31942,0.27259269328973323,0.06965367863701316,0.012363636363636363,1101.6903896103895,89107.31092436975,0.008591437441339975,0.007758665661265004,1.1073344072850786,0.2605042016806723,0.6638655462184874,0.04201680672268908,0.025210084033613446,0.7310924369747899,-87.61714200066189,41.83471774820807,Black,$20-50K,Black ($20-50K),
OAKLAND,0,27,0,2,3,12,8,4,2,29,0,0,2344998,0,217500,196854,938028,745710,421896,260010,2562498,0,Oakland,6850,3096,3348,0.022627737226277374,0.9173722627737226,0,0.01416058394160584,0.03941605839416058,0.31820448877805485,0.27941605839416056,0.3018867924528302,0.35335917312661497,0.07526881720430108,0.1866925064599483,0.14068100358422939,0.013440860215053764,48526.48578811369,NA,210969.21834625324,28575.636200716846,2008-2018,bigcategory,Complaints,1,17,2,0,14,34,0.4117647058823529,188,19,1325,0.1418867924528302,0.014339622641509434,618,65,0.10517799352750809,582.8519912928815,153.5751485040492,2236.09576,0.26065609609352397,0.06868004101221907,0.009366925064599484,827.6802325581396,88362,0.0020937116453685653,0.0024989119700801806,0.8378493001901888,0.06896551724137931,0.9310344827586207,0,0,0.9310344827586207,-87.60510729504273,41.824143620944895,Black,$20-50K,Black ($20-50K),
FULLER PARK,1,5,0,0,2,0,3,0,1,6,0,87006,448998,0,0,124344,0,343044,0,68616,536004,0,Fuller Park,2320,1070,1502,0.01939655172413793,0.9193965517241379,0,0,0.061206896551724135,0.1074095347501436,0.2849740932642487,0.38095238095238093,0.22710280373831776,0.28761651131824234,0.2691588785046729,0.237017310252996,0,32904.67289719626,21336.218375499335,106197.3831775701,23359.818242343543,2008-2018,bigcategory,Complaints,9,249,69,2,237,566,0.41872791519434627,82,11,622,0.13183279742765272,0.017684887459807074,771,210,0.2723735408560311,233.486693489793,62.498647017257355,899.6958,0.25951737630629484,0.06946642078050977,0.005607476635514018,500.9383177570094,89334,4.3318171973142733e-4,8.463468278227765e-4,0.5118253007998924,0,0.8333333333333334,0,0.16666666666666666,1,-87.63239450834686,41.80906605823142,Black,$20-50K,Black ($20-50K),
GRAND BOULEVARD,0,98,3,3,12,26,39,21,6,104,0,0,8479806,242628,259014,928980,1978932,3593880,1993362,486294,8981448,0,Grand Boulevard,23200,10537,12391,0.026508620689655173,0.9269827586206897,0.003879310344827586,0.006896551724137931,0.017370689655172415,0.31262709084945883,0.3076082681466591,0.36559324952643363,0.2654455727436652,0.14962472762488904,0.23583562683875867,0.16342506658058267,0.023969009765152125,NA,NA,229119.04716712536,34922.86772657574,2008-2018,bigcategory,Complaints,18,219,69,0,136,442,0.3076923076923077,900,94,5824,0.15453296703296704,0.016140109890109892,3227,655,0.2029748992872637,2133.4954679960038,438.4734247997578,7510.52963,0.2840672460000672,0.05838115903948012,0.009869981968302173,852.3724020119579,86360.07692307692,0.007508483142011407,0.008463468278227764,0.8871638547198136,0.028846153846153848,0.9423076923076923,0.028846153846153848,0,0.9711538461538461,-87.61783034093531,41.81293605056095,Black,$20-50K,Black ($20-50K),
KENWOOD,0,39,0,5,8,12,6,12,6,44,0,0,3361434,0,488124,616506,1017624,498300,1061316,655812,3849558,0,Kenwood,17440,9308,10611,0.18262614678899083,0.673394495412844,0.0019495412844036698,0.07947247706422018,0.025802752293577983,0.5778878909879219,0.20728453775664077,0.18403693931398418,0.13934250107434465,0.12279709735180473,0.3370219166308552,0.1500329846385826,0.0016963528413910093,86102.47099269446,111283.59249835077,269884.64761495485,51204.639336537555,2008-2018,bigcategory,Complaints,3,89,18,1,72,183,0.39344262295081966,1031,77,5404,0.19078460399703923,0.014248704663212436,1454,174,0.11966987620357634,821.8610941282204,141.49333036303355,2776.96995,0.29595606323655765,0.050952416810644115,0.004727116458960034,413.5752041254835,87489.95454545454,0.003176665944697134,0.0063621933953574225,0.4993035809026474,0.11363636363636363,0.8863636363636364,0,0,0.8863636363636364,-87.59655550682066,41.80959181898911,Black,$50-75K,Black ($50-75K),
LINCOLN SQUARE,4,1,17,88,21,33,24,26,6,110,0,351108,111444,1347522,8016432,1521036,2928342,2271114,2495538,610476,9826506,0,Lincoln Square,41713,18349,19840,0.6448109702011363,0.035768225732984923,4.0754680794956007e-4,0.08954043104068277,0.18521803754225302,0.6235228262221669,0.08586731588557517,0.101242324717978,0.07368248950896507,0.07515120967741935,0.3959343833451414,0.1685483870967742,0.011139112903225806,100665.39320943921,158309.49596774194,377169.8076189438,73279.91461693548,2008-2018,bigcategory,Complaints,17,9,41,2,153,222,0.6891891891891891,3824,497,11820,0.32351945854483927,0.04204737732656515,1876,245,0.13059701492537312,2404.1345535977193,55.065122001541496,5259.67161,0.4570883378017053,0.010469307988135307,0.005994877105019347,535.5335985612295,89331.87272727273,0.007941664861742834,0.015217097081453222,0.5218909243486545,0.8,0.00909090909090909,0.15454545454545454,0.03636363636363636,0.2,-87.68959408440188,41.97603339689192,White,$50-75K,White ($50-75K),
WASHINGTON PARK,0,27,0,2,5,9,7,4,4,29,0,0,2347428,0,145020,409128,711486,653130,313362,405342,2492448,0,Washington Park,11355,4538,5782,0.01083223249669749,0.9161602818141787,0.014002642007926024,0.0018494055482166448,0.021400264200792603,0.17732081656981075,0.3750887154009936,0.4929218573046433,0.39202291758483915,0.2151504669664476,0.1372851476421331,0.08976132826011761,0.005188516084399862,37242.68400176289,NA,137440.0396650507,28334.95416810792,2008-2018,bigcategory,Complaints,10,147,77,2,122,358,0.3407821229050279,279,41,2102,0.13273073263558516,0.01950523311132255,2291,447,0.1951113051069402,1391.5615911411837,315.16941226085873,5028.74688,0.2767213431790752,0.06267354865569585,0.006390480387836051,549.2393124724548,85946.4827586207,0.0020937116453685653,0.00414235699565846,0.5054396923208097,0.06896551724137931,0.9310344827586207,0,0,0.9310344827586207,-87.61730515976438,41.79112801783032,Black,$20-50K,Black ($20-50K),
HYDE PARK,2,22,1,14,4,12,12,6,5,39,0,171060,1962294,90024,1174482,289044,1049208,1007706,567390,484512,3397860,0,Hyde Park,27517,13043,14470,0.4760329977831886,0.26841588835992297,0.002689246647526983,0.12079805211323909,0.0851473634480503,0.7499713795077275,0.2295318705122548,0.10832025117739404,0.06486237828720387,0.09861782999308916,0.35574637736717013,0.12142363510711818,0.007532826537664133,93210.70305911217,NA,275708.4336425669,56636.358465791294,2008-2018,bigcategory,Complaints,12,86,20,3,29,150,0.19333333333333333,1843,94,7283,0.253055059728134,0.012906769188521214,1732,165,0.09526558891454966,622.6379063863311,70.39502607967367,1891.417158,0.3291912118660875,0.037218138675505066,0.0029901096373533696,260.5121521122441,87124.61538461539,0.0028156811782542777,0.010038330026379026,0.2804929874645629,0.358974358974359,0.5641025641025641,0.02564102564102564,0.05128205128205128,0.6410256410256411,-87.5925939985459,41.79423561939169,Black & white,$50-75K,Black & white ($50-75K),
WOODLAWN,0,40,4,3,5,7,19,13,3,47,0,0,3486408,290208,235542,384684,509742,1656666,1228410,232656,4012158,0,Woodlawn,25058,10588,13400,0.07849788490701573,0.829435709154761,0.001676111421502115,0.0378322292281906,0.03324287652645862,0.3008837970540098,0.35826755033982016,0.512292243767313,0.2580279561768039,0.2098507462686567,0.2482999622213827,0.11455223880597015,0.0075373134328358205,46552.9089535323,NA,156221.87381941822,31260.79671641791,2008-2018,bigcategory,Complaints,25,453,152,0,326,956,0.3410041841004184,858,72,5122,0.16751269035532995,0.014057008980866849,3789,771,0.2034837688044339,2334.785091225135,430.53954661445823,7925.51705,0.2945908861839033,0.054323212466555505,0.00443898753305629,378.93445409898,85365.06382978724,0.0033932568045628476,0.009141275349820316,0.3712016840877183,0.06382978723404255,0.851063829787234,0.0851063829787234,0,0.9361702127659575,-87.59506504064203,41.77613563523626,Black,$20-50K,Black ($20-50K),
ROGERS PARK,3,15,16,51,16,19,18,26,6,85,0,267366,1359318,1313922,4479138,1224816,1527192,1655400,2425386,586950,7419744,0,Rogers Park,54872,24282,27717,0.43938620790202654,0.26266584050153086,5.285026971861787e-4,0.0543993293483015,0.2060431549788599,0.45006454332305906,0.258857220255026,0.3519847972972973,0.09109628531422453,0.12393116138110186,0.24973231200065893,0.07594617022044232,5.411841108345059e-4,60265.31175356231,NA,218325.2079729841,40442.13717213263,2008-2018,bigcategory,Complaints,18,44,93,2,395,552,0.7155797101449275,3362,381,12600,0.2668253968253968,0.030238095238095238,3834,561,0.14632237871674492,4259.698583028261,381.19138940072963,11723.61275,0.36334350800083026,0.032514839711054906,0.003500535375998682,305.5656041512231,87291.10588235295,0.006136741029528554,0.020017561696677323,0.30656785888898647,0.6,0.17647058823529413,0.18823529411764706,0.03529411764705882,0.4,-87.67098940737404,42.010498268028506,"White, Black & Latino",$20-50K,"White, Black & Latino ($20-50K)",
